year,area
1982,0.5109722
1983,5.5031986
1984,2.2791831
1985,0.46919203
1986,2.5400467
1987,4.9080405
1988,11.888787
1989,7.8383775
1990,12.3040085
1991,4.4171844
1992,2.4072273
1993,0.84347874
1994,3.9599903
1995,2.6837237
1996,4.4535575
1997,11.254347
1998,32.010483
1999,13.923157
2000,4.9089904
2001,2.4916644
2002,1.7214556
2003,2.2135613
2004,2.5120203
2005,2.662337
2006,1.5191499
2007,1.4981475
2008,0.9358338
2009,1.818919
2010,4.9907503
2011,3.2247267
2012,1.2143699
2013,0.4122827
2014,4.5145802
2015,17.270416
2016,18.10257
2017,8.36207
2018,6.271466
2019,18.575638
2020,6.224573
2021,5.44013
2022,8.602384
2023,18.50329
2024,35.0
