lon,n_extremes
-179.875,574
-179.625,574
-179.375,574
-179.125,574
-178.875,574
-178.625,574
-178.375,574
-178.125,574
-177.875,574
-177.625,574
-177.375,574
-177.125,577
-176.875,577
-176.625,577
-176.375,576
-176.125,576
-175.875,576
-175.625,576
-175.375,574
-175.125,573
-174.875,573
-174.625,573
-174.375,573
-174.125,573
-173.875,573
-173.625,572
-173.375,572
-173.125,573
-172.875,573
-172.625,573
-172.375,576
-172.125,576
-171.875,576
-171.625,576
-171.375,576
-171.125,577
-170.875,577
-170.625,578
-170.375,578
-170.125,577
-169.875,577
-169.625,578
-169.375,578
-169.125,578
-168.875,578
-168.625,578
-168.375,578
-168.125,578
-167.875,578
-167.625,577
-167.375,577
-167.125,577
-166.875,575
-166.625,574
-166.375,575
-166.125,572
-165.875,572
-165.625,571
-165.375,569
-165.125,568
-164.875,567
-164.625,564
-164.375,561
-164.125,561
-163.875,559
-163.625,559
-163.375,561
-163.125,560
-162.875,560
-162.625,562
-162.375,561
-162.125,559
-161.875,559
-161.625,558
-161.375,555
-161.125,553
-160.875,555
-160.625,554
-160.375,550
-160.125,548
-159.875,548
-159.625,547
-159.375,548
-159.125,547
-158.875,547
-158.625,549
-158.375,548
-158.125,546
-157.875,547
-157.625,546
-157.375,543
-157.125,541
-156.875,541
-156.625,540
-156.375,542
-156.125,542
-155.875,542
-155.625,541
-155.375,541
-155.125,543
-154.875,543
-154.625,544
-154.375,545
-154.125,546
-153.875,546
-153.625,548
-153.375,547
-153.125,547
-152.875,548
-152.625,551
-152.375,553
-152.125,553
-151.875,554
-151.625,554
-151.375,552
-151.125,549
-150.875,550
-150.625,550
-150.375,550
-150.125,550
-149.875,550
-149.625,551
-149.375,551
-149.125,551
-148.875,550
-148.625,550
-148.375,550
-148.125,551
-147.875,553
-147.625,553
-147.375,553
-147.125,552
-146.875,552
-146.625,554
-146.375,553
-146.125,553
-145.875,552
-145.625,550
-145.375,548
-145.125,548
-144.875,546
-144.625,546
-144.375,545
-144.125,545
-143.875,543
-143.625,543
-143.375,543
-143.125,544
-142.875,544
-142.625,544
-142.375,544
-142.125,542
-141.875,542
-141.625,542
-141.375,542
-141.125,542
-140.875,542
-140.625,541
-140.375,541
-140.125,541
-139.875,542
-139.625,542
-139.375,541
-139.125,539
-138.875,537
-138.625,537
-138.375,537
-138.125,537
-137.875,536
-137.625,535
-137.375,535
-137.125,534
-136.875,534
-136.625,534
-136.375,532
-136.125,532
-135.875,530
-135.625,529
-135.375,528
-135.125,528
-134.875,525
-134.625,525
-134.375,526
-134.125,526
-133.875,524
-133.625,524
-133.375,522
-133.125,521
-132.875,519
-132.625,517
-132.375,517
-132.125,519
-131.875,520
-131.625,521
-131.375,520
-131.125,520
-130.875,520
-130.625,519
-130.375,518
-130.125,516
-129.875,514
-129.625,513
-129.375,513
-129.125,512
-128.875,510
-128.625,509
-128.375,509
-128.125,507
-127.875,506
-127.625,503
-127.375,503
-127.125,501
-126.875,500
-126.625,498
-126.375,498
-126.125,496
-125.875,494
-125.625,495
-125.375,495
-125.125,496
-124.875,497
-124.625,496
-124.375,497
-124.125,492
-123.875,482
-123.625,466
-123.375,461
-123.125,460
-122.875,458
-122.625,454
-122.375,451
-122.125,447
-121.875,445
-121.625,445
-121.375,442
-121.125,441
-120.875,440
-120.625,439
-120.375,438
-120.125,435
-119.875,435
-119.625,436
-119.375,436
-119.125,436
-118.875,435
-118.625,435
-118.375,435
-118.125,435
-117.875,433
-117.625,433
-117.375,432
-117.125,431
-116.875,429
-116.625,427
-116.375,425
-116.125,424
-115.875,422
-115.625,420
-115.375,417
-115.125,419
-114.875,423
-114.625,424
-114.375,422
-114.125,419
-113.875,418
-113.625,417
-113.375,418
-113.125,418
-112.875,421
-112.625,418
-112.375,417
-112.125,415
-111.875,412
-111.625,409
-111.375,409
-111.125,407
-110.875,410
-110.625,410
-110.375,410
-110.125,409
-109.875,410
-109.625,409
-109.375,408
-109.125,407
-108.875,404
-108.625,403
-108.375,403
-108.125,402
-107.875,401
-107.625,400
-107.375,399
-107.125,399
-106.875,399
-106.625,398
-106.375,395
-106.125,394
-105.875,393
-105.625,392
-105.375,391
-105.125,386
-104.875,380
-104.625,377
-104.375,377
-104.125,377
-103.875,376
-103.625,376
-103.375,375
-103.125,372
-102.875,371
-102.625,372
-102.375,371
-102.125,371
-101.875,370
-101.625,370
-101.375,369
-101.125,367
-100.875,367
-100.625,366
-100.375,365
-100.125,364
-99.875,364
-99.625,364
