year,area
1982,0.0051097223
1983,0.055031985
1984,0.02279183
1985,0.0046919202
1986,0.025400467
1987,0.049080405
1988,0.11888787
1989,0.07838377
1990,0.12304008
1991,0.044171844
1992,0.024072273
1993,0.008434787
1994,0.039599903
1995,0.026837237
1996,0.044535574
1997,0.11254347
1998,0.32010484
1999,0.13923156
2000,0.049089905
2001,0.024916645
2002,0.017214555
2003,0.022135613
2004,0.025120204
2005,0.02662337
2006,0.015191499
2007,0.014981475
2008,0.009358338
2009,0.01818919
2010,0.049907506
2011,0.032247268
2012,0.012143699
2013,0.004122827
2014,0.045145802
2015,0.17270416
2016,0.1810257
2017,0.083620705
2018,0.06271466
2019,0.18575637
2020,0.06224573
2021,0.0544013
2022,0.08602384
2023,0.1850329
2024,0.42850384
